source,target,value
5,5,5
5,381,1
5,466,1
5,999,2
5,2137,1
5,2390,2
5,2951,1
5,3047,1
5,3696,1
5,6482,1
5,7545,1
27,27,1
27,3696,1
27,4400,1
27,5012,1
29,29,1
30,30,1
30,3377,1
34,34,2
34,582,1
34,915,1
34,1331,2
34,1334,1
34,3500,1
35,35,1
35,1907,1
53,53,1
53,769,1
53,1372,1
53,1987,1
53,2654,1
55,55,1
55,1201,1
55,4845,1
57,57,1
57,1051,1
63,63,2
63,1515,1
63,1854,2
63,2213,1
69,69,1
69,1391,1
69,4390,1
69,5240,1
75,75,1
75,4988,1
75,6547,1
76,76,1
76,3435,1
76,4175,1
76,5036,1
80,80,1
80,2116,1
80,5508,1
83,83,1
83,233,1
83,1757,1
83,4058,1
93,93,1
93,780,1
93,3063,1
100,100,3
100,5323,3
100,7436,3
101,101,1
101,3538,1
101,4196,1
101,4612,1
104,104,1
104,866,1
105,105,1
105,285,1
105,4342,1
108,108,1
108,2887,1
126,126,7
126,444,1
126,1194,1
126,1563,2
126,1599,2
126,2036,2
126,2105,1
126,2156,1
126,2838,1
126,3796,1
126,4074,2
126,4350,1
126,4475,1
126,4529,1
126,4711,2
126,4883,1
126,5655,1
126,5701,1
126,5854,1
126,6494,1
126,6566,2
126,6789,1
128,128,1
128,2517,1
128,4232,1
128,5569,1
138,138,2
138,892,1
138,1369,1
138,4908,2
156,156,1
156,176,1
156,1444,1
156,2512,1
156,2513,1
156,4533,1
159,159,1
159,353,1
159,1591,1
160,160,1
160,1652,1
168,168,1
168,1423,1
168,6140,1
170,170,1
170,2898,1
170,3680,1
170,4009,1
170,5224,1
170,6153,1
170,6671,1
176,156,1
176,176,1
176,1444,1
176,2512,1
176,2513,1
176,4533,1
182,182,1
182,1391,1
182,1762,1
204,204,1
204,479,1
204,1593,1
204,3336,1
204,3546,1
205,205,1
205,4363,1
205,4727,1
212,212,1
212,993,1
212,1865,1
215,215,1
215,663,1
223,223,1
223,5931,1
223,7570,1
228,228,1
228,1499,1
228,2537,1
228,2598,1
228,6485,1
233,83,1
233,233,1
233,1757,1
233,4058,1
234,234,2
234,3548,1
238,238,1
238,4808,1
238,6140,1
239,239,3
239,4371,1
239,5611,1
239,5625,1
239,5653,1
240,240,1
240,1173,1
240,7081,1
247,247,1
247,1194,1
247,4396,1
253,253,3
253,517,2
253,5685,1
258,258,1
258,726,1
270,270,1
270,880,1
270,4967,1
272,272,2
272,3760,1
272,4309,1
273,273,1
273,755,1
273,1226,1
273,7112,1
274,274,1
274,1337,1
285,105,1
285,285,1
285,4342,1
288,288,1
288,920,1
288,7292,1
294,294,1
294,6574,1
303,303,1
303,307,1
303,4044,1
303,6666,1
303,7064,1
303,7478,1
307,303,1
307,307,1
307,4044,1
307,6666,1
307,7064,1
307,7478,1
308,308,1
308,3353,1
308,5555,1
308,5637,1
316,316,1
316,1884,1
316,2038,1
316,2148,1
316,4907,1
320,320,1
320,2597,1
320,4562,1
320,4914,1
320,5522,1
321,321,3
321,2365,2
321,4769,1
321,5842,1
321,7096,1
324,324,1
324,6503,1
324,7942,1
328,328,1
328,1360,1
328,2321,1
328,4227,1
328,6158,1
328,6771,1
330,330,1
330,769,1
330,6291,1
330,7083,1
331,331,1
331,6143,1
332,332,1
332,780,1
332,3063,1
332,3353,1
332,4289,1
333,333,1
333,3385,1
333,5908,1
336,336,1
336,4891,1
336,6799,1
351,351,1
351,7604,1
353,159,1
353,353,1
353,1591,1
359,359,1
359,527,1
359,6478,1
359,7942,1
362,362,4
362,1193,1
362,1195,1
362,1391,1
362,4272,4
362,4608,3
362,5659,1
364,364,2
364,700,1
364,993,1
364,1391,1
364,1559,1
364,1865,1
364,2049,1
364,2140,1
364,2786,1
364,3545,1
364,5505,1
370,370,1
370,2533,1
370,5103,1
374,374,1
374,1376,1
374,3789,1
379,379,1
379,2357,1
379,5693,1
379,6480,1
379,6507,1
379,6671,1
380,380,1
380,1674,1
380,5704,1
380,6706,1
381,5,1
381,381,1
381,466,1
381,3696,1
389,389,5
389,694,3
389,2547,2
389,2711,2
389,7077,5
393,393,1
393,870,1
393,1832,1
401,401,1
401,1331,1
401,6428,1
403,403,1
403,3211,1
403,6874,1
403,7512,1
409,409,1
409,3859,1
409,5309,1
409,6313,1
416,416,1
416,3131,1
416,4369,1
416,5226,1
418,418,2
418,749,1
418,5029,1
437,437,1
437,4034,1
437,6777,1
437,7480,1
438,438,1
438,463,1
438,2095,1
441,441,1
441,4415,1
441,6723,1
444,126,1
444,444,1
444,1563,1
444,1599,1
444,4074,1
444,4711,1
463,438,1
463,463,1
463,2095,1
466,5,1
466,381,1
466,466,1
466,3696,1
467,467,1
467,1762,1
467,2129,1
475,475,1
475,3078,1
479,204,1
479,479,1
479,1593,1
479,3336,1
479,3546,1
492,492,1
492,2519,1
492,4024,1
493,493,3
493,873,1
493,1816,1
493,2029,1
493,2517,1
493,4064,1
493,4907,1
493,6537,1
494,494,1
494,2140,1
494,3717,1
494,4907,1
494,5743,1
501,501,1
513,513,1
513,4422,1
513,7743,1
514,514,1
514,1873,1
514,3991,1
514,5003,1
514,6718,1
517,253,2
517,517,9
517,1391,1
517,1846,3
517,4340,1
517,5869,1
520,520,1
520,2354,1
520,4946,1
523,523,1
523,2727,1
524,524,1
524,3558,1
526,526,1
526,5158,1
526,7963,1
527,359,1
527,527,1
527,6478,1
527,7942,1
529,529,1
529,3118,1
529,4363,1
529,7292,1
539,539,1
539,3287,1
539,3725,1
539,5721,1
568,568,1
568,632,1
568,1614,1
568,7100,1
572,572,1
572,4886,1
572,5255,1
574,574,2
574,1379,1
574,1559,2
574,5080,1
574,6295,1
582,34,1
582,582,1
582,1331,1
582,1334,1
584,584,2
584,705,1
585,585,1
585,1865,1
585,4415,1
588,588,1
588,820,1
588,4159,1
592,592,1
592,3425,1
592,3738,1
592,6077,1
592,7942,1
596,596,1
596,1559,1
605,605,2
605,1823,1
605,2108,2
605,5323,2
608,608,1
608,1991,1
632,568,1
632,632,1
632,1614,1
632,7100,1
633,633,1
633,1559,1
633,2228,1
633,4535,1
633,4817,1
637,637,3
637,3945,1
641,641,1
641,1638,1
641,3408,1
641,6302,1
650,650,1
650,903,1
650,5063,1
660,660,1
660,720,1
660,2210,1
660,4374,1
660,7964,1
661,661,2
661,6506,1
663,215,1
663,663,1
678,678,1
678,1992,1
678,3790,1
678,5676,1
681,681,1
681,1563,1
684,684,1
684,1570,1
684,2596,1
693,693,1
693,6671,1
694,389,3
694,694,3
694,7077,3
700,364,1
700,700,1
705,584,1
705,705,6
705,1338,1
705,1391,1
705,2294,1
705,2497,1
705,4155,1
705,4580,1
705,4952,1
705,4954,1
705,7436,3
714,714,1
714,1457,1
714,5812,1
715,715,1
715,2796,1
715,5059,1
715,5801,1
715,7119,1
720,660,1
720,720,1
720,2210,1
720,4374,1
720,7964,1
726,258,1
726,726,1
728,728,1
728,1919,1
730,730,1
730,5398,1
730,6394,1
730,6546,1
734,734,1
734,1919,1
734,2478,1
734,3444,1
734,4736,1
734,7942,1
741,741,1
741,2897,1
741,5376,1
743,743,1
743,2830,1
743,4363,1
745,745,1
745,4287,1
745,5323,1
749,418,1
749,749,1
754,754,1
754,4415,1
754,6240,1
755,273,1
755,755,1
755,1226,1
755,7112,1
759,759,1
759,4402,1
759,4754,1
759,4887,1
759,6552,1
760,760,1
760,3347,1
760,6130,1
763,763,1
763,7201,1
763,7959,1
769,53,1
769,330,1
769,769,3
769,1372,1
769,1987,1
769,2654,1
769,6291,1
769,7083,1
770,770,1
770,1348,1
770,5450,1
774,774,1
774,1043,1
774,1548,1
774,3681,1
774,7698,1
775,775,1
775,4877,1
780,93,1
780,332,1
780,780,6
780,2298,1
780,2764,1
780,2765,1
780,3063,2
780,3353,4
780,4289,1
780,4743,1
780,7155,1
786,786,1
786,1290,1
786,4596,1
786,4705,1
788,788,1
788,5762,1
792,792,3
792,2140,1
792,3542,1
792,3717,3
792,7115,2
798,798,1
798,1550,1
798,2814,1
798,6192,1
801,801,1
801,4466,1
802,802,1
802,1222,1
802,5717,1
804,804,7
804,2781,1
804,3664,1
804,5893,1
804,6189,1
804,6345,4
804,7710,1
820,588,1
820,820,1
820,4159,1
826,826,1
826,1251,1
826,3533,1
826,3951,1
839,839,1
841,841,1
841,2517,1
841,4048,1
844,844,2
844,3243,1
845,845,1
845,3030,1
845,6440,1
847,847,1
847,1783,1
847,1890,1
847,7273,1
862,862,2
862,1873,1
862,4732,1
862,6401,2
862,6943,1
863,863,1
866,104,1
866,866,1
870,393,1
870,870,1
870,1832,1
873,493,1
873,873,1
873,4907,1
880,270,1
880,880,1
880,4967,1
888,888,1
888,1934,1
888,4009,1
888,6153,1
888,6262,1
888,6665,1
888,6671,1
891,891,1
891,2834,1
891,4047,1
891,4352,1
892,138,1
892,892,1
892,4908,1
898,898,1
898,1686,1
898,5163,1
901,901,1
901,6260,1
903,650,1
903,903,1
903,5063,1
909,909,1
909,2404,1
909,5026,1
912,912,2
912,1336,1
912,5037,1
912,5422,1
912,6178,1
913,913,1
913,977,1
913,6108,1
915,34,1
915,915,1
915,1331,1
915,3500,1
920,288,1
920,920,3
920,1104,1
920,3770,1
920,3802,1
920,4102,1
920,7292,2
921,921,1
921,3734,1
921,6634,1
922,922,1
922,3660,1
922,4167,1
922,6438,1
926,926,2
926,1149,1
926,3263,1
926,5915,1
926,5958,2
926,6644,2
931,931,1
931,6309,1
933,933,3
933,5393,3
940,940,2
940,5962,2
952,952,1
952,7292,1
963,963,1
963,2666,1
963,5245,1
967,967,1
967,1331,1
967,3470,1
967,5544,1
967,7030,1
967,7802,1
977,913,1
977,977,1
977,6108,1
979,979,1
979,1391,1
979,4411,1
988,988,1
988,2379,1
988,7478,1
993,212,1
993,364,1
993,993,5
993,1391,1
993,1559,1
993,1865,3
993,2049,1
993,2140,1
993,2786,1
993,3545,1
993,5505,1
999,5,2
999,999,3
999,2137,2
999,2390,2
1012,1012,1
1012,1015,1
1012,1140,1
1012,3850,1
1012,3913,1
1012,5973,1
1012,7774,1
1012,7790,1
1013,1013,1
1013,4305,1
1013,7180,1
1015,1012,1
1015,1015,1
1015,1140,1
1015,3850,1
1015,3913,1
1015,5973,1
1015,7774,1
1015,7790,1
1043,774,1
1043,1043,1
1043,1548,1
1043,3681,1
1043,7698,1
1050,1050,1
1050,2846,1
1051,57,1
1051,1051,1
1054,1054,1
1054,6017,1
1058,1058,3
1058,6017,3
1061,1061,1
1061,4723,1
1061,6545,1
1061,7008,1
1096,1096,1
1096,5974,1
1096,6677,1
1102,1102,1
1102,3432,1
1104,920,1
1104,1104,1
1104,4102,1
1104,7292,1
1113,1113,3
1113,6429,1
1113,6544,1
1113,7082,1
1113,7292,1
1113,7434,1
1115,1115,1
1115,2006,1
1115,7903,1
1122,1122,1
1122,1559,1
1123,1123,1
1123,1569,1
1123,1648,1
1123,6680,1
1131,1131,1
1131,7724,1
1135,1135,1
1135,3315,1
1135,6871,1
1138,1138,1
1138,3164,1
1138,7012,1
1138,7668,1
1138,7686,1
1138,7699,1
1138,7868,1
1139,1139,1
1139,3164,1
1139,6991,1
1139,7012,1
1139,7057,1
1139,7686,1
1140,1012,1
1140,1015,1
1140,1140,4
1140,3061,1
1140,3164,2
1140,3850,1
1140,3913,1
1140,4324,1
1140,5973,1
1140,6895,1
1140,7254,1
1140,7259,1
1140,7386,1
1140,7650,1
1140,7686,2
1140,7699,1
1140,7774,1
1140,7790,2
1142,1142,1
1142,1872,1
1142,3153,1
1142,3860,1
1145,1145,1
1145,6677,1
1145,7474,1
1145,7694,1
1149,926,1
1149,1149,1
1149,5958,1
1149,6644,1
1158,1158,1
1158,3998,1
1171,1171,1
1171,5883,1
1171,6145,1
1171,6237,1
1173,240,1
1173,1173,1
1173,7081,1
1174,1174,1
1174,1367,1
1174,2214,1
1182,1182,1
1182,3354,1
1183,1183,1
1184,1184,1
1184,4845,1
1184,5098,1
1184,6240,1
1185,1185,1
1185,1218,1
1185,2517,1
1185,5552,1
1185,5589,1
1185,7971,1
1192,1192,1
1192,1331,1
1192,6312,1
1193,362,1
1193,1193,2
1193,1260,1
1193,4272,1
1193,4608,1
1193,5540,1
1194,126,1
1194,247,1
1194,1194,7
1194,1599,1
1194,1707,1
1194,2036,1
1194,3723,3
1194,3778,1
1194,4074,1
1194,4396,2
1194,4711,1
1194,5694,1
1194,5838,3
1195,362,1
1195,1195,3
1195,2891,1
1195,3756,1
1195,4272,1
1195,4608,1
1195,5209,1
1195,5271,1
1201,55,1
1201,1201,1
1201,4845,1
1203,1203,1
1203,4003,1
1205,1205,1
1205,1926,1
1205,1931,1
1205,5778,1
1215,1215,1
1215,4108,1
1215,6079,1
1218,1185,1
1218,1218,2
1218,1307,1
1218,1699,1
1218,2517,1
1218,5552,1
1218,5589,1
1218,5720,1
1218,7971,1
1221,1221,2
1221,3460,2
1222,802,1
1222,1222,1
1222,5717,1
1224,1224,1
1224,5693,1
1224,6218,1
1226,273,1
1226,755,1
1226,1226,1
1226,7112,1
1230,1230,1
1230,2259,1
1230,5639,1
1230,6386,1
1244,1244,1
1244,1631,1
1244,6745,1
1245,1245,1
1245,6309,1
1245,7943,1
1251,826,1
1251,1251,1
1251,3533,1
1251,3951,1
1257,1257,1
1257,4491,1
1257,7067,1
1258,1258,1
1258,7972,1
1260,1193,1
1260,1260,1
1260,5540,1
1274,1274,3
1274,4464,3
1274,4696,3
1274,4726,1
1274,5688,1
1274,6662,1
1277,1277,1
1277,4757,1
1277,5051,1
1277,6534,1
1278,1278,1
1278,5013,1
1279,1279,1
1279,2293,1
1279,4116,1
1279,6664,1
1279,6825,1
1281,1281,1
1281,1873,1
1281,3738,1
1281,6503,1
1281,7942,1
1290,786,1
1290,1290,1
1290,4596,1
1290,4705,1
1297,1297,1
1297,6349,1
1307,1218,1
1307,1307,1
1307,1699,1
1307,5720,1
1328,1328,1
1328,7292,1
1330,1330,1
1330,4617,1
1330,4961,1
1331,34,2
1331,401,1
1331,582,1
1331,915,1
1331,967,1
1331,1192,1
1331,1331,7
1331,1334,1
1331,3470,1
1331,3500,1
1331,5343,1
1331,5544,1
1331,6312,1
1331,6313,2
1331,6428,1
1331,7030,1
1331,7802,1
1333,1333,2
1333,2166,1
1333,2510,1
1333,4783,1
1334,34,1
1334,582,1
1334,1331,1
1334,1334,1
1336,912,1
1336,1336,1
1336,5422,1
1337,274,1
1337,1337,1
1338,705,1
1338,1338,1
1338,1391,1
1338,2294,1
1338,4155,1
1338,4952,1
1342,1342,1
1342,3512,1
1342,4730,1
1342,6734,1
1348,770,1
1348,1348,1
1348,5450,1
1350,1350,1
1350,6066,1
1350,6544,1
1350,7292,1
1353,1353,1
1353,4682,1
1360,328,1
1360,1360,1
1360,2321,1
1360,4227,1
1360,6158,1
1360,6771,1
1363,1363,1
1363,1999,1
1363,4552,1
1364,1364,1
1364,6861,1
1367,1174,1
1367,1367,1
1367,2214,1
1369,138,1
1369,1369,1
1369,4908,1
1372,53,1
1372,769,1
1372,1372,1
1372,1987,1
1372,2654,1
1374,1374,1
1374,1403,1
1374,6479,1
1376,374,1
1376,1376,1
1376,3789,1
1377,1377,1
1377,5129,1
1377,6161,1
1379,574,1
1379,1379,1
1379,1559,1
1379,6295,1
1385,1385,2
1385,1407,2
1385,4194,2
1390,1390,1
1390,2049,1
1391,69,1
1391,182,1
1391,362,1
1391,364,1
1391,517,1
1391,705,1
1391,979,1
1391,993,1
1391,1338,1
1391,1391,14
1391,1559,1
1391,1600,1
1391,1762,1
1391,1865,1
1391,2049,1
1391,2140,1
1391,2294,1
1391,2786,1
1391,2893,2
1391,3518,1
1391,3545,1
1391,4155,1
1391,4272,1
1391,4390,1
1391,4400,1
1391,4411,2
1391,4501,1
1391,4952,1
1391,5240,1
1391,5323,1
1391,5505,1
1391,5659,1
1391,5761,1
1391,5798,1
1391,6100,1
1391,6107,1
1391,6268,1
1391,6546,1
1391,6903,1
1397,1397,1
1397,4652,1
1397,5173,1
1397,5616,1
1397,6201,1
1400,1400,1
1400,2417,1
1400,2511,1
1400,4519,1
1400,6796,1
1403,1374,1
1403,1403,1
1403,6479,1
1407,1385,2
1407,1407,2
1407,4194,2
1418,1418,1
1418,3253,1
1418,6577,1
1420,1420,2
1420,6154,1
1420,6155,1
1420,6849,1
1420,6850,1
1423,168,1
1423,1423,1
1423,6140,1
1444,156,1
1444,176,1
1444,1444,1
1444,2512,1
1444,2513,1
1444,4533,1
1457,714,1
1457,1457,2
1457,3329,1
1457,4458,1
1457,5266,1
1457,5812,1
1457,7015,1
1457,7292,1
1471,1471,1
1471,5758,1
1471,6190,1
1482,1482,1
1482,7076,1
1489,1489,1
1489,4700,1
1489,6747,1
1489,6960,1
1496,1496,1
1496,7737,1
1499,228,1
1499,1499,1
1499,2537,1
1499,2598,1
1499,6485,1
1500,1500,1
1500,2456,1
1500,4446,1
1500,7893,1
1506,1506,1
1506,4197,1
1515,63,1
1515,1515,1
1515,1854,1
1515,2213,1
1525,1525,1
1525,1990,1
1525,4903,1
1533,1533,1
1533,3511,1
1533,4587,1
1537,1537,1
1537,2530,1
1537,7937,1
1548,774,1
1548,1043,1
1548,1548,1
1548,3681,1
1548,7698,1
1550,798,1
1550,1550,1
1550,2814,1
1550,6192,1
1557,1557,1
1557,5897,1
1559,364,1
1559,574,2
1559,596,1
1559,633,1
1559,993,1
1559,1122,1
1559,1379,1
1559,1391,1
1559,1559,9
1559,1865,1
1559,1998,1
1559,2049,1
1559,2140,1
1559,2228,1
1559,2786,1
1559,3545,1
1559,4535,1
1559,4544,1
1559,4817,1
1559,5080,1
1559,5505,1
1559,6165,1
1559,6295,3
1559,6520,1
1560,1560,1
1560,3543,1
1560,4291,1
1563,126,2
1563,444,1
1563,681,1
1563,1563,3
1563,1599,1
1563,4074,1
1563,4711,1
1569,1123,1
1569,1569,1
1569,1648,1
1569,6680,1
1570,684,1
1570,1570,1
1570,2596,1
1575,1575,1
1575,2936,1
1575,5532,1
1582,1582,1
1583,1583,1
1583,5869,1
1583,7436,1
1583,7478,1
1590,1590,1
1590,5247,1
1590,6275,1
1590,6276,1
1591,159,1
1591,353,1
1591,1591,1
1593,204,1
1593,479,1
1593,1593,1
1593,3336,1
1593,3546,1
1597,1597,1
1597,2170,1
1597,7922,1
1599,126,2
1599,444,1
1599,1194,1
1599,1563,1
1599,1599,2
1599,2036,1
1599,4074,2
1599,4711,2
1600,1391,1
1600,1600,1
1600,5323,1
1600,5761,1
1600,6546,1
1611,1611,1
1611,5972,1
1614,568,1
1614,632,1
1614,1614,1
1614,7100,1
1615,1615,1
1615,4047,1
1615,4352,1
1615,5721,1
1616,1616,1
1616,6079,1
1631,1244,1
1631,1631,2
1631,2549,1
1631,4400,1
1631,6745,1
1635,1635,1
1635,3133,1
1635,4719,1
1638,641,1
1638,1638,1
1638,3408,1
1638,6302,1
1648,1123,1
1648,1569,1
1648,1648,1
1648,6680,1
1652,160,1
1652,1652,1
1662,1662,1
1662,6156,1
1662,6875,1
1662,7676,1
1662,7966,1
1664,1664,1
1664,5423,1
1664,5732,1
1671,1671,1
1671,5231,1
1673,1673,3
1673,1903,1
1673,4383,1
1673,6730,1
1674,380,1
1674,1674,2
1674,5704,1
1674,6567,1
1674,6706,1
1681,1681,1
1681,4791,1
1681,6568,1
1684,1684,1
1684,5049,1
1684,5182,1
1684,6461,1
1684,6864,1
1685,1685,1
1685,5052,1
1686,898,1
1686,1686,1
1686,5163,1
1699,1218,1
1699,1307,1
1699,1699,1
1699,5720,1
1707,1194,1
1707,1707,1
1707,3723,1
1707,5838,1
1708,1708,3
1708,4301,2
1708,4704,1
1708,4750,2
1708,5731,1
1708,6653,1
1714,1714,1
1714,3020,1
1714,3128,1
1714,5892,1
1714,7465,1
1716,1716,1
1716,2776,1
1716,2877,1
1716,5879,1
1720,1720,4
1720,1841,4
1720,4486,1
1720,4631,1
1720,6105,1
1720,6146,1
1720,6899,1
1726,1726,1
1726,2010,1
1726,2943,1
1726,5963,1
1726,6993,1
1745,1745,1
1745,3868,1
1745,5556,1
1745,7059,1
1753,1753,1
1753,2337,1
1753,5323,1
1757,83,1
1757,233,1
1757,1757,1
1757,4058,1
1762,182,1
1762,467,1
1762,1391,1
1762,1762,2
1762,2129,1
1765,1765,1
1765,7161,1
1783,847,1
1783,1783,1
1783,1890,1
1783,7273,1
1786,1786,1
1786,2279,1
1786,3329,1
1786,7292,1
1816,493,1
1816,1816,1
1816,2029,1
1816,2517,1
1816,4064,1
1823,605,1
1823,1823,1
1823,2108,1
1823,5323,1
1825,1825,1
1825,2033,1
1827,1827,1
1827,3298,1
1827,3369,1
1827,6278,1
1827,7754,1
1832,393,1
1832,870,1
1832,1832,1
1838,1838,1
1838,3326,1
1838,3660,1
1838,5323,1
1839,1839,1
1839,4345,1
1839,5199,1
1841,1720,4
1841,1841,4
1841,4486,1
1841,4631,1
1841,6105,1
1841,6146,1
1841,6899,1
1846,517,3
1846,1846,3
1854,63,2
1854,1515,1
1854,1854,5
1854,2213,1
1854,3212,1
1854,5277,2
1854,5602,1
1854,5866,1
1855,1855,1
1855,2546,1
1855,2608,1
1860,1860,3
1860,3348,2
1860,3870,1
1860,4270,1
1860,6894,1
1860,7123,1
1865,212,1
1865,364,1
1865,585,1
1865,993,3
1865,1391,1
1865,1559,1
1865,1865,7
1865,2049,1
1865,2103,2
1865,2140,1
1865,2786,1
1865,3545,1
1865,4415,1
1865,5505,1
1867,1867,4
1867,5181,4
1867,6211,4
1870,1870,1
1870,1871,1
1870,6116,1
1870,6529,1
1871,1870,1
1871,1871,1
1871,6116,1
1871,6529,1
1872,1142,1
1872,1872,1
1872,3153,1
1872,3860,1
1873,514,1
1873,862,1
1873,1281,1
1873,1873,3
1873,3738,1
1873,3991,1
1873,4732,1
1873,5003,1
1873,6401,1
1873,6503,1
1873,6718,1
1873,7942,1
1877,1877,1
1877,5115,1
1880,1880,1
1880,4256,1
1884,316,1
1884,1884,1
1884,2038,1
1884,2148,1
1884,4907,1
1890,847,1
1890,1783,1
1890,1890,1
1890,7273,1
1899,1899,1
1899,5622,1
1900,1900,2
1900,3744,1
1903,1673,1
1903,1903,1
1906,1906,1
1906,3272,1
1906,5995,1
1907,35,1
1907,1907,1
1909,1909,1
1909,4378,1
1910,1910,3
1910,3112,1
1910,4020,1
1910,4921,1
1910,5014,1
1910,6534,1
1919,728,1
1919,734,1
1919,1919,2
1919,2478,1
1919,3444,1
1919,4736,1
1919,7942,1
1926,1205,1
1926,1926,1
1926,1931,1
1926,5778,1
1931,1205,1
1931,1926,1
1931,1931,1
1931,5778,1
1934,888,1
1934,1934,1
1934,4009,1
1934,6153,1
1934,6262,1
1934,6665,1
1934,6671,1
1953,1953,1
1953,5760,1
1957,1957,1
1957,4067,1
1957,4748,1
1957,6406,1
1973,1973,1
1973,2037,1
1985,1985,1
1985,5587,1
1985,5695,1
1987,53,1
1987,769,1
1987,1372,1
1987,1987,1
1987,2654,1
1990,1525,1
1990,1990,2
1990,3554,1
1990,4903,1
1990,6822,1
1991,608,1
1991,1991,2
1991,4564,1
1992,678,1
1992,1992,1
1992,3790,1
1992,5676,1
1996,1996,1
1996,5198,1
1998,1559,1
1998,1998,1
1999,1363,1
1999,1999,1
1999,4552,1
2006,1115,1
2006,2006,1
2006,7903,1
2010,1726,1
2010,2010,1
2010,2943,1
2010,5963,1
2010,6993,1
2012,2012,1
2012,6525,1
2012,7220,1
2029,493,1
2029,1816,1
2029,2029,1
2029,2517,1
2029,4064,1
2033,1825,1
2033,2033,1
2035,2035,1
2035,4048,1
2035,5537,1
2036,126,2
2036,1194,1
2036,1599,1
2036,2036,2
2036,4074,1
2036,4711,1
2036,4883,1
2037,1973,1
2037,2037,2
2037,2523,1
2037,4911,1
2038,316,1
2038,1884,1
2038,2038,1
